,ТР,Т воздуха на вх. в ГТУ (фильтр.),Р воздуха за КГГ (фильтр.),Т за СТ (т.1),Т за СТ (т.2),Т за СТ (т.3),Т за СТ (т.4),Т за СТ (т.5),Т за СТ (т.6),Т за СТ (т.7),Т за СТ (т.8),Т за СТ (т.9),Т за СТ (т.10),Т за СТ (т.11),Т за СТ (т.12),Т за ГГ (т.1),Т за ГГ (т.2),Т за ГГ на запуске (т.1),Т за ГГ на запуске (т.2),Т в. на входе К ГГ,Т ТГ перед ДГ,Т м. на сливе ШП,Т м. на сливе РП,Т м. на входе Д,Т м. на выходе из СТ,Р м. на входе ,Р суфлирования,Р ТГ перед ДГ,Т в ЩА,Вибр.Д в зоне ПП,Вибр. Д в зоне ЗП,Положение ДГ,Осевая сила (расч.),Обороты КВД 1,Обороты СТ 1,Обороты КВД 2,Обороты СТ 2,Положение ВНА,Т газа за ГГ (ср.),Т газа за СТ (ср.),Т газа за СТ (ср.).1,Anomaly_Class
0,02:39:30.030,"14,49142","0,10175","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,7","18,81994","18,31129","19,0234","19,32859","14,51613","19,36234","20,94588","20,84345","21,03375","20,39974","133,3332","2,299136","-1,235941","18,7931","0,07242173","-0,005874696","0,4507455","0,9802107",0,0,0,0,"-45,10685","18,81995","17,49194",,1
1,02:39:30.050,"14,49142","0,1017536","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,7","18,81994","18,31129","19,0234","19,32859","14,45852","19,35919","20,93238","20,83878","21,0366","20,40808","133,3333","2,297448","-1,359535","18,7931","0,07174417","-0,006027201","0,4430404","0,9801217",0,0,0,0,"-45,10685","18,81995","17,49195",,1
2,02:39:30.070,"14,49142","0,1017369","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,7","18,81994","18,31129","19,0234","19,32859","14,41532","19,35451","20,91297","20,83527","21,0341","20,41433","133,3333","2,297728","-1,235941","18,7931","0,07123601","-0,004596653","0,4468929","0,9801312",0,0,0,0,"-45,10685","18,81995","17,49196",,1
3,02:39:30.090,"14,49142","0,1017181","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,7","18,81994","18,31129","19,0234","19,32859","14,40812","19,35295","20,90665","20,83469","21,03214","20,41537","133,3333","2,298289","-1,235941","18,7931","0,07115132","-0,003843253","0,4468929","0,9802077",0,0,0,0,"-45,10685","18,81995","17,49196",,1
4,02:39:30.110,"14,49142","0,101728","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,7","18,81994","18,31129","19,0234","19,32859","14,40452","19,35681","20,90348","20,83903","21,03116","20,41126","133,3333","2,297025","-1,359535","18,7931","0,07110897","-0,003466553","0,4468929","0,9801757",0,0,0,0,"-45,10286","18,81995","17,49197",,1
5,02:39:30.130,"14,49142","0,1017329","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,65","18,81994","18,31129","19,0234","19,32859","14,40272","19,35874","20,88799","20,8412","21,02603","20,40921","133,3333","2,297938","-1,359535","18,7931","0,07108779","-0,003278203","0,4507455","0,9801245",0,0,0,0,"-45,10086","18,81995","17,49197",,1
6,02:39:30.150,"14,49142","0,1017354","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,625","18,81994","18,31129","19,0234","19,32859","14,40182","19,35507","20,88024","20,84229","21,03274","20,41281","133,3333","2,298394","-1,359535","18,7931","0,07107721","-0,004728954","0,4507455","0,9801269",0,0,0,0,"-45,09986","18,81995","17,49092",,1
7,02:39:30.170,"14,49142","0,1017173","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6125","18,81994","18,31129","19,0234","19,32859","14,40137","19,35555","20,86709","20,83356","21,0361","20,41924","133,3333","2,300167","-1,359535","18,7931","0,07261684","-0,00545433","0,4507455","0,9802351",0,0,0,0,"-45,09937","18,81995","17,48962",,1
8,02:39:30.190,"14,49142","0,1016986","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,60625","18,81994","18,31129","19,0234","19,32859","14,40115","19,35579","20,85588","20,8292","21,03777","20,42245","133,3241","2,301054","-1,359535","18,7931","0,07338665","-0,002727165","0,4507455","0,9803892",0,0,0,0,"-45,09911","18,81995","17,48839",,1
9,02:39:30.210,"14,49142","0,1016892","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,60313","18,81994","18,31129","19,0234","19,32859","14,40103","19,35592","20,85028","20,82702","21,03397","20,42406","133,3194","2,301497","-1,359535","18,7931","0,07222664","-0,004453436","0,4507455","0,9804708",0,0,0,0,"-45,09899","18,81995","17,48733",,1
