TimeStamp;Температура масла в магистрали общей откачки (поз. Тм);Температура слива масла из опоры турбины (поз. Т606);Температура масла на входе в двигатель за фильтром (поз. Т607);Температура топливного газа перед СК (перед расходомерным устройством) (поз. Ттг);Давление масла в нагнетающей магистрали двигателя (после фильтра) (поз. Pм);Давление масла в магистрали общей откачки (поз. Р615);Давление за ОК Pk1;Давление за ОК Pk2;Давление топливного газа перед дозаторами (поз. Pтг1.1);Вибрация промежуточного корпуса газогенератора (гориз.) (поз. В1);Вибрация корпуса силовой турбины (гориз.) (поз. В2);Положение дозатора газа 8402 (или ДУС-6,5 МП) ( поз. А ДГ);Контроль управления дозатором газа ДГ ;Частота вращения РНД (Расчетная);Частота вращения РВД (Расчетная);Частота вращения РСТ (Расчетная);Температура воздуха на входе в газогенератор (Расчетная);Давление воздуха за компрессором (Расчетная);Частота вращения РНД приведенная;Частота вращения РВД приведенная;Температура газов за ТНД максимальная (Расчетная);Положение лопаток НА КВД. (поз. A2) ;Положение КПВ (поз. A3)
00:00:00.000;1158.560748;857.3908749;1113.592778;1453.279991;2837.589822;2336.707532;1926.602926;1584.074752;303.1888067;1946.64677;1158.331478;1889.914552;622.6369874;2768.311734;1745.128767;1152.483107;1207.175773;1912.594714;1953.58648;1605.682337;1216.024177;1978.358443;2343.422313
00:00:00.020;1155.338158;857.6715082;1128.034482;1462.924572;2853.066825;2352.525126;1924.503476;1573.025219;303.2806084;1931.411166;1181.50225;1894.694585;621.2979176;2772.423853;1736.248258;1151.678238;1195.958452;1939.883701;1976.543145;1591.214716;1220.509727;1982.934351;2352.484806
00:00:00.040;1159.213865;859.7940179;1127.918652;1455.049602;2847.802743;2347.114094;1931.994186;1572.938718;304.0892068;1915.87121;1172.174317;1900.864254;618.5202146;2767.291159;1728.241432;1167.869988;1203.377627;1924.890401;1974.404815;1596.177141;1217.224191;1995.776927;2330.871132
00:00:00.060;1162.063008;859.2455659;1116.360063;1452.876529;2861.972359;2323.626512;1928.176574;1575.305161;304.1445865;1950.95759;1164.213207;1892.564171;635.2140239;2780.457785;1731.325932;1145.853352;1189.944327;1921.996725;1962.76635;1609.28339;1224.2217;2001.228588;2330.697547
00:00:00.080;1152.617854;850.3210352;1119.412223;1465.984504;2859.125227;2361.760308;1927.626;1580.839735;303.8282206;1965.354993;1162.854057;1890.383756;621.0396499;2773.338201;1725.364921;1163.514494;1197.549593;1932.258934;1988.339886;1596.233257;1236.135085;1980.344794;2322.866586
00:00:00.100;1169.825539;860.5089196;1109.682802;1475.664476;2835.792226;2336.6971;1932.207854;1598.035228;304.5274567;1948.360006;1175.355873;1899.79608;634.2985538;2760.329714;1742.418998;1164.295421;1194.055285;1917.587385;1950.894525;1603.952388;1229.649487;1976.055958;2345.290194
00:00:00.120;1152.216883;858.8142571;1116.644335;1459.989133;2872.188011;2346.63874;1922.961163;1591.210406;304.8490529;1953.567843;1172.144998;1887.625649;624.2178056;2760.63065;1705.289658;1160.431477;1202.140319;1939.00099;1969.876944;1591.946879;1221.632484;1972.902694;2318.468246
00:00:00.140;1152.450611;860.5014935;1132.609302;1467.607881;2823.501545;2336.81309;1919.10827;1579.112093;302.2512354;1940.276621;1167.678598;1896.043924;620.5127418;2780.164474;1734.612334;1167.268672;1192.476155;1927.258696;1974.254534;1600.273072;1218.858666;1979.987033;2322.791143
00:00:00.160;1148.083125;862.4491886;1122.523945;1466.409938;2834.0624;2328.792714;1915.032203;1578.033689;303.2050685;1950.245699;1173.836397;1894.046673;626.8975824;2782.158559;1737.022174;1161.140735;1206.300917;1931.79882;1971.657531;1601.849093;1229.844896;1989.318205;2343.635061
00:00:00.180;1155.867378;857.4749643;1123.615603;1463.850131;2842.402873;2330.991486;1922.486239;1569.87319;304.1351087;1943.910889;1169.122247;1901.047873;622.7318;2802.495282;1739.177867;1161.546786;1203.872467;1930.904586;1951.306181;1613.868118;1223.398802;1988.927193;2340.948386
