TimeStamp;30-Т масла откачки;31-Т слива масла из турбины;32-Т масла вх ГТД;33-Т ТГ до СК;34-Р масла нагнетания;35-Р масла откачки;36-Р за ОК 1;37-Р за ОК 2;38-Р ТГ перед ДГ;39-Вибрация ГГ;40-Вибрация СТ;41-% ДГ;42-Контроль ДГ;43-N РНД (Расч);44-N РВД (Расч);45-N РСТ (Расч);46 Т-возд вх ГГ (Расч);47-P возд за ГГ (расч);48-N РНД прив;49-N РВД прив;50-Т за ТНД макс;51-% НА КВД;52-% КПВ
05:36:30.019;87.942;117.585;36.484;27.067;298.109;231.183;1316.932;1310.457;2854.371;6.392;11.334;70.606;70.328;8823.096;11931.036;4603.731;9.168;1313.694;8915.892;12051.015;675.393;79.678;28.794
05:36:30.043;87.942;117.585;36.484;27.067;298.665;229.088;1312.862;1310.948;2864.876;6.385;11.341;70.609;70.325;8823.096;11931.036;4603.731;9.168;1313.694;8911.440;12050.500;675.393;79.453;28.820
05:36:30.065;87.942;117.585;36.484;27.067;298.962;227.883;1319.028;1304.810;2851.652;6.383;11.338;70.587;70.328;8826.151;11931.473;4603.314;9.168;1311.905;8911.440;12050.500;675.393;79.535;28.685
05:36:30.088;87.942;117.585;36.484;27.067;298.962;228.754;1329.264;1308.739;2855.236;6.373;11.338;70.597;70.328;8829.243;11930.648;4602.802;9.168;1311.919;8914.526;12050.940;675.393;79.868;28.614
05:36:30.111;87.942;117.585;36.484;27.067;298.832;231.479;1312.739;1308.739;2855.236;6.373;11.334;70.609;70.328;8829.950;11931.788;4601.916;9.180;1319.001;8917.649;12050.108;675.456;79.568;28.614
05:36:30.134;87.942;117.585;36.484;27.067;297.738;231.479;1312.739;1315.490;2862.899;6.359;11.334;70.609;70.325;8827.688;11931.958;4601.333;9.180;1310.739;8918.180;12051.012;675.456;79.568;28.567
05:36:30.159;87.942;117.585;36.484;27.067;297.757;235.539;1315.329;1308.861;2851.528;6.340;11.331;70.655;70.328;8826.787;11931.788;4600.854;9.180;1314.115;8915.896;12051.184;675.456;79.436;28.522
05:36:30.181;87.942;117.585;36.484;27.067;297.757;235.539;1315.329;1308.861;2851.528;6.340;11.331;70.655;70.328;8824.960;11932.895;4600.280;9.180;1312.095;8914.985;12051.012;675.456;79.436;28.522
05:36:30.204;87.990;117.585;36.484;27.067;298.702;239.451;1311.259;1303.828;2853.011;6.326;11.324;70.544;70.328;8824.960;11932.895;4600.280;9.180;1312.095;8913.140;12052.130;675.456;79.162;28.454
05:36:30.226;87.990;117.585;36.484;27.067;298.702;242.492;1319.768;1318.559;2863.641;6.319;11.324;70.550;70.325;8827.676;11932.007;4599.734;9.180;1307.544;8913.140;12052.130;675.456;79.458;28.454
05:36:30.252;87.990;117.561;36.484;27.067;299.166;244.234;1311.629;1318.559;2863.641;6.319;11.317;70.560;70.325;8828.378;11932.225;4599.290;9.180;1319.164;8915.883;12051.233;675.456;79.769;28.454
05:36:30.274;87.990;117.561;36.484;27.067;299.518;244.234;1311.629;1315.736;2859.562;6.305;11.317;70.560;70.328;8829.273;11932.104;4598.501;9.191;1315.094;8916.592;12051.453;675.456;79.769;28.589
05:36:30.298;87.990;117.561;36.484;27.067;298.591;244.865;1318.658;1307.879;2855.607;6.293;11.315;70.674;70.331;8832.760;11931.982;4598.114;9.191;1313.682;8917.313;12051.083;675.456;79.653;28.451
05:36:30.318;87.990;117.561;36.484;27.067;296.774;244.253;1313.849;1316.104;2860.180;6.307;11.320;70.594;70.328;8828.151;11932.249;4597.641;9.191;1313.269;8920.835;12050.961;675.443;79.510;28.685
05:36:30.343;87.990;117.561;36.484;27.067;296.774;244.253;1313.849;1316.104;2860.180;6.307;11.320;70.594;70.328;8823.883;11931.051;4597.187;9.191;1314.976;8916.181;12051.230;675.443;79.510;28.685
05:36:30.364;87.990;117.561;36.600;27.067;296.774;242.696;1311.629;1301.496;2855.730;6.288;11.320;70.609;70.328;8823.883;11931.051;4597.187;9.191;1314.976;8911.869;12050.020;675.443;79.508;28.555
05:36:30.387;87.990;117.561;36.600;27.067;296.440;240.545;1332.963;1301.496;2855.730;6.288;11.322;70.609;70.328;8832.101;11932.152;4596.762;9.191;1306.563;8911.869;12050.020;675.443;79.486;28.555
05:36:30.410;87.990;117.561;36.600;27.067;298.480;240.545;1320.138;1306.038;2848.438;6.260;11.310;70.692;70.328;8825.732;11932.249;4596.031;9.180;1317.230;8920.169;12051.133;675.443;79.486;28.696
05:36:30.433;87.990;117.561;36.600;27.067;300.148;238.024;1320.138;1307.879;2856.348;6.272;11.303;70.692;70.331;8823.626;11932.055;4595.649;9.180;1313.088;8913.920;12051.478;675.443;79.659;28.696
05:36:30.458;87.990;117.561;36.600;27.067;298.758;235.651;1316.069;1300.146;2854.865;6.272;11.296;70.618;70.325;8828.014;11931.487;4594.857;9.180;1314.009;8911.793;12051.281;675.443;79.799;28.733
05:36:30.479;87.990;117.561;36.600;27.067;298.758;235.651;1316.069;1300.146;2854.865;6.272;11.296;70.618;70.325;8827.043;11933.137;4594.265;9.180;1308.107;8916.225;12050.708;675.443;79.799;28.733
05:36:30.503;87.990;117.561;36.600;27.067;298.758;233.333;1321.371;1305.302;2852.270;6.281;11.296;70.615;70.328;8827.043;11933.137;4594.265;9.180;1308.107;8915.244;12052.374;675.443;79.752;28.699
05:36:30.525;87.990;117.561;36.600;27.067;296.755;230.756;1318.042;1305.302;2857.461;6.262;11.308;70.702;70.328;8833.237;11932.846;4594.260;9.180;1313.336;8915.244;12052.374;675.481;79.392;28.699
05:36:30.551;87.990;117.561;36.600;27.067;296.737;230.756;1318.042;1316.349;2857.461;6.262;11.308;70.609;70.325;8829.784;11933.001;4594.341;9.180;1311.672;8921.500;12052.080;675.493;79.200;28.941
05:36:30.573;87.990;117.633;36.600;27.067;298.572;227.141;1318.042;1298.059;2856.843;6.265;11.296;70.609;70.331;8831.447;11933.364;4594.532;9.180;1317.196;8918.013;12052.237;675.493;79.200;28.893
05:36:30.597;87.990;117.633;36.600;27.067;299.685;222.766;1331.977;1297.445;2851.157;6.281;11.287;70.621;70.337;8829.585;11933.573;4595.028;9.180;1308.050;8919.692;12052.604;675.493;79.387;28.572
05:36:30.617;87.990;117.633;36.600;27.067;299.685;219.225;1324.701;1311.316;2857.955;6.279;11.287;70.609;70.334;8829.148;11933.331;4595.167;9.180;1314.711;8917.812;12052.815;675.493;79.541;28.443
05:36:30.642;87.990;117.633;36.600;27.067;299.685;219.225;1324.701;1311.316;2857.955;6.279;11.287;70.609;70.334;8828.341;11933.889;4595.473;9.180;1318.009;8917.370;12052.570;675.493;79.541;28.443
05:36:30.663;87.990;117.633;36.484;27.067;298.665;218.743;1306.326;1306.161;2854.618;6.265;11.291;70.615;70.334;8828.341;11933.889;4595.473;9.180;1318.009;8916.555;12053.134;675.493;79.837;28.443
05:36:30.686;87.990;117.633;36.484;27.067;297.571;218.743;1325.441;1306.161;2854.618;6.265;11.287;70.547;70.328;8827.936;11933.573;4595.659;9.180;1306.244;8916.555;12053.134;675.493;79.854;28.730
05:36:30.709;87.990;117.633;36.484;27.067;298.350;221.301;1325.441;1299.041;2851.775;6.270;11.289;70.547;70.328;8827.949;11933.500;4595.840;9.180;1315.801;8916.146;12052.815;675.493;79.854;28.696
05:36:30.735;87.990;117.633;36.484;27.067;298.999;224.249;1322.234;1304.565;2857.584;6.291;11.289;70.609;70.331;8832.828;11933.938;4595.874;9.191;1312.241;8916.159;12052.741;675.518;79.447;28.462
05:36:30.758;87.990;117.633;36.484;27.067;298.276;224.194;1309.779;1303.337;2860.798;6.307;11.289;70.618;70.328;8828.138;11933.938;4596.055;9.191;1313.400;8920.903;12052.936;675.518;79.409;28.541
